Date,Traffic
2024-01-01,1000
2024-01-02,1100
2024-01-03,1050
2024-01-04,1200
2024-01-05,1150
2024-01-06,1300
2024-01-07,1250
2024-01-08,1400
2024-01-09,1350
2024-01-10,1500
2024-01-11,1450
2024-01-12,1600
2024-01-13,1550
2024-01-14,1700
2024-01-15,1650
2024-01-16,1800
2024-01-17,1750
2024-01-18,1900
2024-01-19,1850
2024-01-20,2000
2024-01-21,1950
2024-01-22,2100
2024-01-23,2050
2024-01-24,2200
2024-01-25,2150
2024-01-26,2300
2024-01-27,2250
2024-01-28,2400
2024-01-29,2350
2024-01-30,2500
2024-01-31,2450
2024-02-01,2600
2024-02-02,2550
2024-02-03,2700
2024-02-04,2650
2024-02-05,2800
2024-02-06,2750
2024-02-07,2900
2024-02-08,2850
2024-02-09,3000
2024-02-10,2950
2024-02-11,3100
2024-02-12,3050
2024-02-13,3200
2024-02-14,3150
2024-02-15,3300
2024-02-16,3250
2024-02-17,3400
2024-02-18,3350
2024-02-19,3500
2024-02-20,3450
2024-02-21,3600
2024-02-22,3550
2024-02-23,3700
2024-02-24,3650
2024-02-25,3800
2024-02-26,3750
2024-02-27,3900
2024-02-28,3850
2024-02-29,4000
2024-03-01,3950
2024-03-02,4100
2024-03-03,4050
2024-03-04,4200
2024-03-05,4150
2024-03-06,4300
2024-03-07,4250
2024-03-08,4400
2024-03-09,4350
2024-03-10,4500
2024-03-11,4450
2024-03-12,4600
2024-03-13,4550
2024-03-14,4700
2024-03-15,4650
2024-03-16,4800
2024-03-17,4750
2024-03-18,4900
2024-03-19,4850
2024-03-20,5000
2024-03-21,4950
2024-03-22,5100
2024-03-23,5050
2024-03-24,5200
2024-03-25,5150
2024-03-26,5300
2024-03-27,5250
2024-03-28,5400
2024-03-29,5350
2024-03-30,5500
2024-03-31,5450
2024-04-01,5600
2024-04-02,5550
2024-04-03,5700
2024-04-04,5650
2024-04-05,5800
2024-04-06,5750
2024-04-07,5900
2024-04-08,5850
2024-04-09,6000
2024-04-10,5950
2024-04-11,6100
2024-04-12,6050
2024-04-13,6200
2024-04-14,6150
2024-04-15,6300
2024-04-16,6250
2024-04-17,6400
2024-04-18,6350
2024-04-19,6500
2024-04-20,6450
2024-04-21,6600
2024-04-22,6550
2024-04-23,6700
2024-04-24,6650
2024-04-25,6800
2024-04-26,6750
2024-04-27,6900
2024-04-28,6850
2024-04-29,7000
2024-04-30,6950
2024-05-01,7100
2024-05-02,7050
2024-05-03,7200
2024-05-04,7150
2024-05-05,7300
2024-05-06,7250
2024-05-07,7400
2024-05-08,7350
2024-05-09,7500
2024-05-10,7450
2024-05-11,7600
2024-05-12,7550
2024-05-13,7700
2024-05-14,7650
2024-05-15,7800
2024-05-16,7750
2024-05-17,7900
2024-05-18,7850
2024-05-19,8000
2024-05-20,7950
2024-05-21,8100
2024-05-22,8050
2024-05-23,8200
2024-05-24,8150
2024-05-25,8300
2024-05-26,8250
2024-05-27,8400
2024-05-28,8350
2024-05-29,8500
2024-05-30,8450
2024-05-31,8600
2024-06-01,8550
2024-06-02,8700
2024-06-03,8650
2024-06-04,8800
2024-06-05,8750
2024-06-06,8900
2024-06-07,8850
2024-06-08,9000
2024-06-09,8950
2024-06-10,9100
2024-06-11,9050
2024-06-12,9200
2024-06-13,9150
2024-06-14,9300
2024-06-15,9250
2024-06-16,9400
2024-06-17,9350
2024-06-18,9500
2024-06-19,9450
2024-06-20,9600
2024-06-21,9550
2024-06-22,9700
2024-06-23,9650
2024-06-24,9800
2024-06-25,9750
2024-06-26,9900
2024-06-27,9850
2024-06-28,10000
2024-06-29,9990
2024-06-30,10100
2024-07-01,10090
2024-07-02,10200
2024-07-03,10190
2024-07-04,10300
2024-07-05,10290
2024-07-06,10400
2024-07-07,10390
2024-07-08,10500
2024-07-09,10490
2024-07-10,10600
2024-07-11,10590
2024-07-12,10700
2024-07-13,10690
2024-07-14,10800
2024-07-15,10790
2024-07-16,10900
2024-07-17,10890
2024-07-18,11000
2024-07-19,10990
2024-07-20,11100
2024-07-21,11090
2024-07-22,11200
2024-07-23,11190
2024-07-24,11300
2024-07-25,11290
2024-07-26,11400
2024-07-27,11390
2024-07-28,11500
2024-07-29,11490
2024-07-30,11600
2024-07-31,11590
2024-08-01,11700
2024-08-02,11690
2024-08-03,11800
2024-08-04,11790
2024-08-05,11900
2024-08-06,11890
2024-08-07,12000
2024-08-08,11990
2024-08-09,12100
2024-08-10,12090
2024-08-11,12200
2024-08-12,12190
2024-08-13,12300
2024-08-14,12290
2024-08-15,12400
2024-08-16,12390
2024-08-17,12500
2024-08-18,12490
2024-08-19,12600
2024-08-20,12590
2024-08-21,12700
2024-08-22,12690
2024-08-23,12800
2024-08-24,12790
2024-08-25,12900
2024-08-26,12890
2024-08-27,13000
2024-08-28,12990
2024-08-29,13100
2024-08-30,13090
2024-08-31,13200
2024-09-01,13190
2024-09-02,13300
2024-09-03,13290
2024-09-04,13400
2024-09-05,13390
2024-09-06,13500
2024-09-07,13490
2024-09-08,13600
2024-09-09,13590
2024-09-10,13700
2024-09-11,13690
2024-09-12,13800
2024-09-13,13790
2024-09-14,13900
2024-09-15,13890
2024-09-16,14000
2024-09-17,13990
2024-09-18,14100
2024-09-19,14090
2024-09-20,14200
2024-09-21,14190
2024-09-22,14300
2024-09-23,14290
2024-09-24,14400
2024-09-25,14390
2024-09-26,14500
2024-09-27,14490
2024-09-28,14600
2024-09-29,14590
2024-09-30,14700
2024-10-01,14690
2024-10-02,14800
2024-10-03,14790
2024-10-04,14900
2024-10-05,14890
2024-10-06,15000
2024-10-07,14990
2024-10-08,15100
2024-10-09,15090
2024-10-10,15200
2024-10-11,15190
2024-10-12,15300
2024-10-13,15290
2024-10-14,15400
2024-10-15,15390
2024-10-16,15500
2024-10-17,15490
2024-10-18,15600
2024-10-19,15590
2024-10-20,15700
2024-10-21,15690
2024-10-22,15800
2024-10-23,15790
2024-10-24,15900
2024-10-25,15890
2024-10-26,16000
2024-10-27,15990
2024-10-28,16100
2024-10-29,16090
2024-10-30,16200
2024-10-31,16190
2024-11-01,16300
2024-11-02,16290
2024-11-03,16400
2024-11-04,16390
2024-11-05,16500
2024-11-06,16490
2024-11-07,16600
2024-11-08,16590
2024-11-09,16700
2024-11-10,16690
2024-11-11,16800
2024-11-12,16790
2024-11-13,16900
2024-11-14,16890
2024-11-15,17000
2024-11-16,16990
2024-11-17,17100
2024-11-18,17090
2024-11-19,17200
2024-11-20,17190
2024-11-21,17300
2024-11-22,17290
2024-11-23,17400
2024-11-24,17390
2024-11-25,17500
2024-11-26,17490
2024-11-27,17600
2024-11-28,17590
2024-11-29,17700
2024-11-30,17690
2024-12-01,17800
2024-12-02,17790
2024-12-03,17900
2024-12-04,17890
2024-12-05,18000
2024-12-06,17990
2024-12-07,18100
2024-12-08,18090
2024-12-09,18200
2024-12-10,18190
2024-12-11,18300
2024-12-12,18290
2024-12-13,18400
2024-12-14,18390
2024-12-15,18500
2024-12-16,18490
2024-12-17,18600
2024-12-18,18590
2024-12-19,18700
2024-12-20,18690
2024-12-21,18800
2024-12-22,18790
2024-12-23,18900
2024-12-24,18890
2024-12-25,19000
2024-12-26,18990
2024-12-27,19100
2024-12-28,19090
2024-12-29,19200
2024-12-30,19190
2024-12-31,19300